group,horizon_days,n,positive_rate,negative_rate,mean_return,median_return,avg_winner,avg_loser,median_winner,median_loser,bottom_10pct,bottom_5pct,worst_return,median_mae,median_mfe,mean_mae,mean_mfe,universe_label,bucket
A,1,6598,0.520763867838739,0.479236132161261,3.2022223019761146e-05,0.000418895921588,0.006311211689183737,-0.006791284230408267,0.0043370342672043,-0.004474185095543801,-0.01075447518965359,-0.015642207015461106,-0.0899057459395387,-0.00464209373402645,0.00433059463671255,-0.006849699076557346,0.006197318622805882,SPY,spy
A,3,6598,0.5615337981206426,0.43846620187935736,0.0008849064694857923,0.0019140088783901501,0.012052541918484119,-0.01341723294929706,0.0089090340725772,-0.0095551636951652,-0.01996382536712403,-0.028050723578880308,-0.1510670123942203,-0.00836076911427675,0.00896086332720175,-0.012893493737442762,0.012046161235016326,SPY,spy
A,5,6598,0.5716883904213398,0.4283116095786602,0.0017232512631848251,0.00305048281678895,0.015870133905835193,-0.017159282823183606,0.01242043246928185,-0.0122489049138472,-0.025079262804937878,-0.03582586204041184,-0.1963494932088139,-0.010857901162369451,0.01217134818532115,-0.0169003060387512,0.0159585884638545,SPY,spy
A,10,6598,0.6074568050924523,0.39254319490754774,0.003813321436390316,0.00635875298253745,0.021730908421691654,-0.023913971473682176,0.01718057940585955,-0.01716999101409465,-0.031931300575162136,-0.046500627182506325,-0.257176424854173,-0.0153812133722624,0.0184709483578805,-0.02383733516843122,0.023066515659965797,SPY,spy
A,20,6598,0.6395877538648075,0.36041224613519246,0.008003113608475729,0.0131552442272836,0.03197167727553399,-0.034531511570239946,0.02682853047101145,-0.02541288070221875,-0.04423137135136364,-0.06375401143731346,-0.2694309070785846,-0.0216825502070714,0.02828240422589995,-0.03323059327791598,0.03350184471163883,SPY,spy
B,1,748,0.5093582887700535,0.49064171122994654,-0.00017122231167419715,0.0002121804973601,0.005920037456917942,-0.006494846213128164,0.0043128964058851,-0.0045349187945435,-0.01072786830826585,-0.0147165313041723,-0.030791374808704,-0.00538535568475225,0.0044667370911264,-0.00713979120565981,0.006208677324145699,SPY,spy
B,3,748,0.5347593582887701,0.46524064171123,9.827660109569899e-05,0.00103777838771345,0.011224021080899588,-0.012689935444655897,0.0090317482264754,-0.008632302521279351,-0.01998272478732449,-0.026770562895428823,-0.0986240846412146,-0.009438478799474199,0.0094525945819483,-0.013288523919960448,0.011710791960939677,SPY,spy
B,5,748,0.5628342245989305,0.43716577540106955,0.0012455371494830912,0.0031898665730980998,0.014672275414189565,-0.016040875111805672,0.0117000262954054,-0.0123827702702289,-0.023476217478253538,-0.03503689405480802,-0.1037891268534914,-0.01268300996708565,0.01280615620459365,-0.017209391867881955,0.01568669456847872,SPY,spy
B,10,748,0.5962566844919787,0.4037433155080214,0.0019891233015604166,0.00605612705734355,0.019470701535951915,-0.023828041905521073,0.01701800831570395,-0.0170557776436285,-0.03043592437125738,-0.04846999312822396,-0.1647936368541128,-0.0176053219573967,0.02040076557768005,-0.02459629113043532,0.022744172982879132,SPY,spy
B,20,748,0.6497326203208557,0.3502673796791444,0.008336858481667452,0.014370636786690101,0.03152906520141106,-0.03468379978472719,0.02877249988139335,-0.0264746383338136,-0.04608405456765761,-0.07182807322322282,-0.1570958576338292,-0.023216585884164448,0.03227126838108735,-0.03355137724686973,0.03495859587607795,SPY,spy
C,1,5057,0.5202689341506822,0.4797310658493178,-6.51870004393771e-05,0.0003341687550217,0.004985416308898036,-0.0055425725350093415,0.0037551262412593,-0.0037989667173823,-0.00896789686258,-0.01283828787776038,-0.062657251845605,-0.0040019949446243,0.0037281348887661,-0.005638758176964755,0.0049427149450282405,SPY,spy
C,3,5057,0.5681233933161953,0.4318766066838046,0.0008187021859276947,0.0018585555817347,0.00977063313988143,-0.010957349842785251,0.0078638432811646,-0.008014934911150899,-0.0160775075106857,-0.02359174681509906,-0.1028037383180552,-0.0072131147541503,0.0079652771152605,-0.010520948446528983,0.009818218490597002,SPY,spy
C,5,5057,0.5825588293454618,0.4174411706545383,0.001749198560301041,0.0029846602349563,0.01320281803609711,-0.014234867273756382,0.01108735616863785,-0.0102476515798739,-0.0209481804422797,-0.029882217892716795,-0.130237825594639,-0.0093085106370242,0.0108260997843034,-0.013842832907938547,0.013196180473612734,SPY,spy
C,10,5057,0.6207237492584536,0.37927625074154636,0.004264498103110324,0.0063354147023619,0.01872341522352182,-0.019398974702401497,0.0157194409792964,-0.01443171939084625,-0.02617350847554618,-0.0383449132324098,-0.160610139075361,-0.0132126606344069,0.0165555472315266,-0.019547636143572085,0.01960944847724449,SPY,spy
C,20,5057,0.6640300573462528,0.3359699426537473,0.009476605661081248,0.0135389626918098,0.028201960299898212,-0.027533247709811852,0.02488609507337395,-0.0217018771575896,-0.03533460821104144,-0.05183188566193002,-0.1570958576338292,-0.0185598329142436,0.0260586319218241,-0.02696543242017927,0.02953406609065191,SPY,spy
D,1,584,0.5188356164383562,0.4811643835616438,-0.00012388325136037878,0.0002752620706646,0.005018264112446023,-0.005668618665002157,0.0038747195909121,-0.0040568242851042,-0.00905817646219396,-0.012846597917687965,-0.027223913549672,-0.0046419985967107,0.00418226540111075,-0.006252953226632956,0.005448369609426963,SPY,spy
D,3,584,0.5496575342465754,0.4503424657534247,0.00028869822482030614,0.00128598867186585,0.00942987548135025,-0.01086840405406225,0.0082568807346001,-0.0073363431144992,-0.017281261144517078,-0.02458508507685843,-0.0955943474653708,-0.008332293890129999,0.0086601340458755,-0.011511982008645914,0.010201832252776828,SPY,spy
D,5,584,0.5667808219178082,0.4332191780821918,0.0010104748008841395,0.00280946745560225,0.012561838782738605,-0.01410217926233257,0.0100732600728765,-0.0107174808498895,-0.02001149655277052,-0.028844905788080764,-0.1037891268534914,-0.011439116345841799,0.01196647641936405,-0.015237837610840608,0.013701629576776456,SPY,spy
